"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.521539125E0,-1.440155182E0,2.816393280E0,1.908531189E-1,3.168997155E0
2.531580125E0,-9.000782776E-1,2.015858002E0,-2.911445618E-1,2.226789066E0
2.541621125E0,-4.921765137E-1,1.369352417E0,-7.167095947E-1,1.622046980E0
2.551662125E0,-1.725910950E-1,8.461903381E-1,-1.200503540E0,1.478862578E0
2.561703125E0,9.475296021E-2,3.969744873E-1,-1.788181458E0,1.834164603E0
2.571744125E0,2.995271301E-1,7.334747314E-3,-2.501897278E0,2.519773857E0
2.581785125E0,3.827540588E-1,-3.992198181E-1,-3.149899750E0,3.198084672E0
2.591826125E0,3.403921509E-1,-7.394622803E-1,-3.411256256E0,3.507041563E0
2.601868125E0,2.601589966E-1,-9.398954773E-1,-3.164569244E0,3.311432426E0
2.611909125E0,1.890568542E-1,-1.036594391E0,-2.315834198E0,2.544279556E0
2.621949875E0,1.040336609E-1,-9.972262573E-1,-1.395398254E0,1.718260603E0
2.631990875E0,-2.844085693E-2,-9.985734558E-1,-1.126108246E0,1.505349664E0
2.642031875E0,-3.176394653E-1,-1.234333191E0,-1.436412964E0,1.920352952E0
2.652072875E0,-7.689509583E-1,-1.929188232E0,-1.789378967E0,2.741337247E0
2.662113875E0,-1.006656647E0,-3.490591278E0,-1.748663635E0,4.031799795E0
2.672154875E0,-1.067280579E0,-4.526437225E0,-1.161285095E0,4.793360498E0
2.682195875E0,-1.123713226E0,-4.443809052E0,-7.997868347E-1,4.652937705E0
2.692236875E0,-1.326391754E0,-6.203549652E0,-6.749464417E-1,6.379568643E0
2.702277875E0,-2.156266022E0,-1.058688446E1,-6.041436768E-1,1.082111803E1
2.712318875E0,-3.830534363E0,-1.854927658E1,-9.355545044E-2,1.894089248E1
2.722359875E0,-1.206521027E1,-3.336097549E1,2.237097931E0,3.554614736E1
2.732400875E0,-1.432640808E1,-4.382017548E1,-2.513572998E0,4.617111431E1
2.742441875E0,-5.749543762E0,-4.653642700E1,-1.229947311E1,4.847652350E1
2.752482875E0,-2.316432953E0,-4.489553925E1,-8.511150970E0,4.575385226E1
2.762523875E0,-1.255588989E0,-4.093866760E1,-5.231920166E0,4.129072532E1
2.772564875E0,-2.384541321E-1,-3.486819122E1,-7.342231750E0,3.563363561E1
2.782605875E0,3.715274048E-1,-2.396366730E1,-8.609047394E0,2.546588070E1
2.792646875E0,4.653822327E-1,-1.811158676E1,-6.073919220E0,1.910860148E1
2.802687875E0,-1.242416382E-1,-1.591041412E1,-3.500021667E0,1.629131257E1
2.812728875E0,-2.047891388E0,-1.640782974E1,-2.078577576E0,1.666526990E1
