"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.842129708E0,3.486250305E-1,2.656226349E0,8.904383240E0,9.298662200E0
2.852170708E0,7.289840698E-2,2.863694916E0,8.352031860E0,8.829637532E0
2.862212708E0,-1.052311707E-1,3.005450134E0,7.801626434E0,8.361170919E0
2.872254708E0,-2.507286072E-1,3.032992859E0,7.482190704E0,8.077443175E0
2.882295708E0,-3.574566650E-1,3.074456635E0,7.180418243E0,7.819108966E0
2.892337708E0,-4.755610657E-1,3.136278076E0,6.938221893E0,7.628979063E0
2.902379708E0,-6.480024719E-1,3.171754303E0,6.843169556E0,7.570264337E0
2.912420708E0,-7.664062500E-1,3.174149323E0,6.730453949E0,7.480749483E0
2.922462708E0,-8.647517395E-1,3.196303253E0,6.620432739E0,7.402315834E0
2.932504708E0,-1.003812561E0,3.239413605E0,6.530918884E0,7.358963353E0
2.942545708E0,-1.095571747E0,3.326831818E0,6.488257599E0,7.373301436E0
2.952587708E0,-1.104553070E0,3.413351898E0,6.485263824E0,7.411454347E0
2.962629708E0,-1.116378479E0,3.475622406E0,6.541247406E0,7.490939170E0
2.972670708E0,-1.122665405E0,3.486250305E0,6.677913208E0,7.616353696E0
2.982712708E0,-1.044228516E0,3.456162872E0,6.883136444E0,7.772582730E0
2.992754708E0,-9.445358276E-1,3.419189758E0,7.112609253E0,7.948095175E0
3.002795708E0,-8.815168762E-1,3.440146179E0,7.319329376E0,8.135370935E0
3.012837708E0,-8.690927124E-1,3.538791046E0,7.534731445E0,8.369620192E0
3.022879708E0,-8.815168762E-1,3.697610779E0,7.755073242E0,8.636582569E0
3.032920708E0,-9.851014709E-1,3.875141602E0,7.989336090E0,8.934015810E0
3.042962708E0,-1.053958282E0,4.095034332E0,8.189619598E0,9.216832613E0
3.053004708E0,-1.016685791E0,4.388124847E0,8.437953186E0,9.564953928E0
3.063045708E0,-1.016386414E0,4.683760071E0,8.566086731E0,9.815726750E0
3.073087708E0,-1.006357269E0,4.932393036E0,8.556656342E0,9.927619239E0
3.083128708E0,-9.250762939E-1,5.111570435E0,8.652307434E0,1.009189489E1
3.093170708E0,-8.005352783E-1,5.203329620E0,8.699010315E0,1.016800257E1
3.103212708E0,-7.331753540E-1,5.208718414E0,8.828940125E0,1.027708506E1
3.113253708E0,-7.661068726E-1,5.199437714E0,9.044641571E0,1.046071763E1
3.123295708E0,-9.731263733E-1,5.248685303E0,9.256750488E0,1.068564935E1
3.133337708E0,-1.219064941E0,5.278173981E0,9.398056641E0,1.084752085E1
3.143378708E0,-1.309626617E0,5.276826782E0,9.405092010E0,1.086350673E1
3.153420708E0,-1.253942413E0,5.288203125E0,9.449848938E0,1.090124345E1
3.163462708E0,-1.150058441E0,5.306165771E0,9.465566254E0,1.091214801E1
3.173503708E0,-1.020727386E0,5.270390167E0,9.554181976E0,1.095907342E1
3.183545708E0,-9.174421692E-1,5.155429230E0,9.836494904E0,1.114346367E1
3.193587708E0,-8.201445007E-1,5.090464325E0,1.015158966E1,1.138596666E1
3.203628708E0,-7.394622803E-1,5.257516937E0,1.031729507E1,1.160322655E1
3.213670708E0,-6.221063232E-1,5.380860443E0,1.043001068E1,1.175269323E1
3.223712708E0,-3.537144470E-1,5.167554016E0,1.044078827E1,1.165498984E1
3.233753708E0,1.014889526E-1,4.731361084E0,1.037821838E1,1.140629188E1
3.243795708E0,5.848338318E-1,4.274660797E0,1.042761566E1,1.128494235E1
3.253837708E0,1.006956024E0,3.843557281E0,1.066666855E1,1.138264956E1
3.263878708E0,1.336420898E0,3.281925201E0,1.105780518E1,1.161172292E1
